Index,Company,Account Type,Twitter Handle,Year,Original Tweets,Retweets,Reply Tweets,Quote Tweets,Original Tweet Retweets,Original Tweet Likes,Original Tweet Replies,Original Tweet Quotes
5,GENERAL ELECTRIC,Corporate,@generalelectric,2016,564,44,612,5,12132,24472,931,675
6,GENERAL ELECTRIC,Corporate,@generalelectric,2017,467,30,867,8,16945,37208,1732,2405
7,GENERAL ELECTRIC,Corporate,@generalelectric,2018,297,42,248,11,7564,22210,1478,1012
8,GENERAL ELECTRIC,Corporate,@generalelectric,2019,255,8,111,16,5300,19628,1387,788
9,GENERAL ELECTRIC,Corporate,@generalelectric,2020,172,32,50,8,3398,13452,964,560
10,GENERAL ELECTRIC,Corporate,@generalelectric,2021,122,132,25,20,4053,18814,1244,371
11,GENERAL ELECTRIC,Corporate,@generalelectric,2022,329,957,241,10,1518,8235,909,213
0,JPMORGAN CHASE & CO,Corporate,@jpmorgan,2013,482,84,20,0,2656,1472,639,2
1,JPMORGAN CHASE & CO,Corporate,@jpmorgan,2014,873,323,29,0,4792,3822,449,2
2,JPMORGAN CHASE & CO,Corporate,@jpmorgan,2015,1048,413,38,8,7434,10318,826,1
3,JPMORGAN CHASE & CO,Corporate,@jpmorgan,2016,1314,191,85,16,15533,42874,2298,1151
4,JPMORGAN CHASE & CO,Corporate,@jpmorgan,2017,1346,129,27,12,14894,46872,3296,1705
5,JPMORGAN CHASE & CO,Corporate,@jpmorgan,2018,1892,93,48,13,14196,62186,3420,1679
6,JPMORGAN CHASE & CO,Corporate,@jpmorgan,2019,5377,82,57,3,11667,62686,4065,1685
7,JPMORGAN CHASE & CO,Corporate,@jpmorgan,2020,406,61,68,7,2926,15572,1595,491
8,JPMORGAN CHASE & CO,Corporate,@jpmorgan,2021,444,32,87,1,3359,26766,3776,674
9,JPMORGAN CHASE & CO,Corporate,@jpmorgan,2022,443,8,102,5,3479,29174,3996,476
0,PROCTER & GAMBLE,Corporate,@ProcterGamble,2009,48,0,0,0,0,8,0,0
1,PROCTER & GAMBLE,Corporate,@ProcterGamble,2010,382,49,49,0,438,104,0,0
2,PROCTER & GAMBLE,Corporate,@ProcterGamble,2011,605,44,104,0,1619,249,111,0
3,PROCTER & GAMBLE,Corporate,@ProcterGamble,2012,798,207,257,0,3148,516,314,0
4,PROCTER & GAMBLE,Corporate,@ProcterGamble,2013,547,132,377,0,3524,1442,654,2
5,PROCTER & GAMBLE,Corporate,@ProcterGamble,2014,341,274,114,0,3118,2680,379,3
6,PROCTER & GAMBLE,Corporate,@ProcterGamble,2015,220,385,431,11,3855,7494,356,0
7,PROCTER & GAMBLE,Corporate,@ProcterGamble,2016,188,194,73,22,2076,4494,142,172
8,PROCTER & GAMBLE,Corporate,@ProcterGamble,2017,362,324,7,16,7973,12947,2094,2363
9,PROCTER & GAMBLE,Corporate,@ProcterGamble,2018,353,565,3,7,3145,7610,623,431
10,PROCTER & GAMBLE,Corporate,@ProcterGamble,2019,495,1295,52,36,3876,13489,3840,1060
11,PROCTER & GAMBLE,Corporate,@ProcterGamble,2020,821,373,946,235,11333,56710,6317,2494
12,PROCTER & GAMBLE,Corporate,@ProcterGamble,2021,821,258,2027,190,8227,40076,4920,1622
13,PROCTER & GAMBLE,Corporate,@ProcterGamble,2022,439,92,1365,46,1116,5823,912,235
0,ALPHABET INC CLASS A,Corporate,@google,2009,510,0,10,0,124,12179,61,30
2,ALPHABET INC CLASS A,Corporate,@google,2010,608,16,0,0,59809,23881,53,58
4,ALPHABET INC CLASS A,Corporate,@google,2011,953,92,2,0,156229,49757,6081,19
6,ALPHABET INC CLASS A,Corporate,@google,2012,714,50,0,0,110487,33238,6631,20
8,ALPHABET INC CLASS A,Corporate,@google,2013,721,74,15,0,77877,37950,8123,20
10,ALPHABET INC CLASS A,Corporate,@google,2014,902,123,62,0,150123,128141,12562,64
12,ALPHABET INC CLASS A,Corporate,@google,2015,865,215,1535,5,205570,273236,14920,200
14,ALPHABET INC CLASS A,Corporate,@google,2016,3868,181,43058,15,257893,565113,20978,24998
16,ALPHABET INC CLASS A,Corporate,@google,2017,1159,105,14608,23,227800,669431,29411,31366
18,ALPHABET INC CLASS A,Corporate,@google,2018,876,103,12275,16,177574,847665,34046,29007
20,ALPHABET INC CLASS A,Corporate,@google,2019,812,106,10500,38,127389,758725,40049,26274
22,ALPHABET INC CLASS A,Corporate,@google,2020,724,334,19344,57,126686,586793,35022,32090
24,ALPHABET INC CLASS A,Corporate,@google,2021,7977,278,21734,43,84804,584381,50385,16505
26,ALPHABET INC CLASS A,Corporate,@google,2022,4432,289,20512,23,73040,571857,59678,13445
0,ALPHABET INC CLASS A,Corporate,@google,2009,510,0,10,0,124,12179,61,30
2,ALPHABET INC CLASS A,Corporate,@google,2010,608,16,0,0,59809,23881,53,58
4,ALPHABET INC CLASS A,Corporate,@google,2011,953,92,2,0,156229,49757,6081,19
6,ALPHABET INC CLASS A,Corporate,@google,2012,714,50,0,0,110487,33238,6631,20
8,ALPHABET INC CLASS A,Corporate,@google,2013,721,74,15,0,77877,37950,8123,20
10,ALPHABET INC CLASS A,Corporate,@google,2014,902,123,62,0,150123,128141,12562,64
12,ALPHABET INC CLASS A,Corporate,@google,2015,865,215,1535,5,205570,273236,14920,200
14,ALPHABET INC CLASS A,Corporate,@google,2016,3868,181,43058,15,257893,565113,20978,24998
16,ALPHABET INC CLASS A,Corporate,@google,2017,1159,105,14608,23,227800,669431,29411,31366
18,ALPHABET INC CLASS A,Corporate,@google,2018,876,103,12275,16,177574,847665,34046,29007
20,ALPHABET INC CLASS A,Corporate,@google,2019,812,106,10500,38,127389,758725,40049,26274
22,ALPHABET INC CLASS A,Corporate,@google,2020,724,334,19344,57,126686,586793,35022,32090
24,ALPHABET INC CLASS A,Corporate,@google,2021,7977,278,21734,43,84804,584381,50385,16505
26,ALPHABET INC CLASS A,Corporate,@google,2022,4432,289,20512,23,73040,571857,59678,13445
0,PFIZER INC,Corporate,@pfizer,2009,17,0,0,0,2,2,0,1
1,PFIZER INC,Corporate,@pfizer,2010,153,5,6,0,462,96,1,0
2,PFIZER INC,Corporate,@pfizer,2011,292,3,1,0,948,130,50,1
3,PFIZER INC,Corporate,@pfizer,2012,443,0,7,0,1506,196,108,1
4,PFIZER INC,Corporate,@pfizer,2013,381,21,10,0,1381,369,138,0
5,PFIZER INC,Corporate,@pfizer,2014,519,17,17,0,3307,1693,268,7
6,PFIZER INC,Corporate,@pfizer,2015,1486,50,20,8,8082,6933,620,103
7,PFIZER INC,Corporate,@pfizer,2016,1698,57,44,7,11705,20245,1248,711
8,PFIZER INC,Corporate,@pfizer,2017,1194,66,66,15,8865,19401,1767,2507
9,PFIZER INC,Corporate,@pfizer,2018,1116,47,49,17,7612,23017,2503,1408
10,PFIZER INC,Corporate,@pfizer,2019,767,37,61,10,6739,24347,4008,1193
11,PFIZER INC,Corporate,@pfizer,2020,857,34,173,39,36416,123720,9364,13417
12,PFIZER INC,Corporate,@pfizer,2021,852,45,112,27,27396,98491,37630,34146
13,PFIZER INC,Corporate,@pfizer,2022,573,36,43,16,18835,96841,44874,15153
0,VERIZON COMMUNICATIONS INC,Corporate,@verizon,2010,379,4,124,0,1608,314,0,0
1,VERIZON COMMUNICATIONS INC,Corporate,@verizon,2011,1193,98,992,0,13097,2773,6912,7
2,VERIZON COMMUNICATIONS INC,Corporate,@verizon,2012,907,152,11,0,14206,4093,9599,5
3,VERIZON COMMUNICATIONS INC,Corporate,@verizon,2013,1237,108,6132,0,11622,8355,7812,37
4,VERIZON COMMUNICATIONS INC,Corporate,@verizon,2014,545,11,6238,0,6415,13747,3147,3
5,VERIZON COMMUNICATIONS INC,Corporate,@verizon,2017,44,2,0,0,13317,65954,5756,5689
6,VERIZON COMMUNICATIONS INC,Corporate,@verizon,2018,1563,1,0,4,5697,36565,4094,1847
7,VERIZON COMMUNICATIONS INC,Corporate,@verizon,2019,26452,175,1568,81,24055,166040,11916,4427
8,VERIZON COMMUNICATIONS INC,Corporate,@verizon,2020,184876,1914,6572,188,32962,209178,19779,8011
9,VERIZON COMMUNICATIONS INC,Corporate,@verizon,2021,117131,1054,4816,443,116229,243145,31842,10780
10,VERIZON COMMUNICATIONS INC,Corporate,@verizon,2022,45487,545,1721,145,25025,108101,17004,2981
0,COCA-COLA,Corporate,@CocaColaCo,2010,28,0,22,0,38,4,0,0
1,COCA-COLA,Corporate,@CocaColaCo,2011,376,47,589,0,3487,356,182,0
2,COCA-COLA,Corporate,@CocaColaCo,2012,625,67,968,0,5232,1284,835,1
3,COCA-COLA,Corporate,@CocaColaCo,2013,2077,103,935,0,8071,3794,1282,2
4,COCA-COLA,Corporate,@CocaColaCo,2014,1681,80,1179,0,12774,15926,1792,3
5,COCA-COLA,Corporate,@CocaColaCo,2015,1414,139,869,23,35741,62266,3139,28
6,COCA-COLA,Corporate,@CocaColaCo,2016,2150,258,980,11,78298,224174,4620,1261
7,COCA-COLA,Corporate,@CocaColaCo,2017,587,112,1586,11,34534,166041,3700,5776
8,COCA-COLA,Corporate,@CocaColaCo,2018,194,13,853,2,7328,14795,1169,1217
9,COCA-COLA,Corporate,@CocaColaCo,2019,154,15,1319,20,9404,49040,3592,1519
10,COCA-COLA,Corporate,@CocaColaCo,2020,121,10,1093,23,9367,53350,2794,1139
11,COCA-COLA,Corporate,@CocaColaCo,2021,122,22,457,26,7212,68008,6462,1110
12,COCA-COLA,Corporate,@CocaColaCo,2022,133,7,253,6,1055,5114,2302,534
0, INC,Corporate,@HomeDepot,2009,254,0,570,0,1,74,4,0
1, INC,Corporate,@HomeDepot,2010,762,18,370,0,857,167,1,0
2, INC,Corporate,@HomeDepot,2011,1432,109,2658,0,2885,728,626,0
3, INC,Corporate,@HomeDepot,2012,787,90,604,0,4390,947,995,2
4, INC,Corporate,@HomeDepot,2013,1771,278,1383,0,13205,7302,4555,14
5, INC,Corporate,@HomeDepot,2014,1702,102,108,0,25789,42144,4453,6
6, INC,Corporate,@HomeDepot,2015,829,76,82,0,19741,46307,1791,3
7, INC,Corporate,@HomeDepot,2016,417,41,6,0,10727,25659,1209,485
8, INC,Corporate,@HomeDepot,2017,633,26,1,0,10176,26381,2155,2167
9, INC,Corporate,@HomeDepot,2018,682,12,135,0,9718,30944,3268,1009
10, INC,Corporate,@HomeDepot,2019,1061,24,32,0,11058,41400,5674,1444
11, INC,Corporate,@HomeDepot,2020,572,45,273,2,9477,64782,9413,3387
12, INC,Corporate,@HomeDepot,2021,34802,41,143,7,15381,121031,14401,4782
13, INC,Corporate,@HomeDepot,2022,29577,42,241,11,10828,98870,12785,2222
0,MERCK & CO INC,Corporate,@Merck,2011,85,58,97,0,111,14,17,0
1,MERCK & CO INC,Corporate,@Merck,2012,386,230,168,0,686,87,43,0
2,MERCK & CO INC,Corporate,@Merck,2013,386,265,74,0,938,244,159,0
3,MERCK & CO INC,Corporate,@Merck,2014,792,312,332,0,2914,1632,369,2
4,MERCK & CO INC,Corporate,@Merck,2015,900,208,82,19,6835,6104,517,4
5,MERCK & CO INC,Corporate,@Merck,2016,677,67,88,26,9244,15105,503,257
6,MERCK & CO INC,Corporate,@Merck,2017,726,45,133,8,15610,35251,2061,1062
7,MERCK & CO INC,Corporate,@Merck,2018,778,51,67,18,15710,53860,2513,1100
8,MERCK & CO INC,Corporate,@Merck,2019,781,36,102,6,9997,43009,3428,1184
9,MERCK & CO INC,Corporate,@Merck,2020,703,44,258,18,12557,58536,3764,1512
10,MERCK & CO INC,Corporate,@Merck,2021,623,45,26,15,9183,33332,4521,2308
11,MERCK & CO INC,Corporate,@Merck,2022,466,9,34,6,2151,12393,1741,408
0,PHILIP MORRIS INTERNATIONAL INC,Corporate,@InsidePMI,2013,9,0,0,0,4,2,1,0
1,PHILIP MORRIS INTERNATIONAL INC,Corporate,@InsidePMI,2014,31,1,0,0,17,16,11,0
2,PHILIP MORRIS INTERNATIONAL INC,Corporate,@InsidePMI,2015,233,13,33,1,1063,2205,157,0
3,PHILIP MORRIS INTERNATIONAL INC,Corporate,@InsidePMI,2016,270,19,54,5,2219,7622,188,71
4,PHILIP MORRIS INTERNATIONAL INC,Corporate,@InsidePMI,2017,202,21,146,10,1027,2315,92,56
5,PHILIP MORRIS INTERNATIONAL INC,Corporate,@InsidePMI,2018,438,56,278,10,1863,5443,259,180
6,PHILIP MORRIS INTERNATIONAL INC,Corporate,@InsidePMI,2019,1571,83,1688,23,3831,13119,2028,532
7,PHILIP MORRIS INTERNATIONAL INC,Corporate,@InsidePMI,2020,1211,51,628,13,1578,7461,740,294
8,PHILIP MORRIS INTERNATIONAL INC,Corporate,@InsidePMI,2021,827,49,191,5,1086,4613,774,244
9,PHILIP MORRIS INTERNATIONAL INC,Corporate,@InsidePMI,2022,266,12,118,4,340,1486,1806,88
0,INTEL CORPORATION CORP,Corporate,@intel,2009,293,0,8,0,0,77,6,1
1,INTEL CORPORATION CORP,Corporate,@intel,2010,72,36,1,0,557,132,0,1
2,INTEL CORPORATION CORP,Corporate,@intel,2011,499,70,8,0,5164,884,257,0
3,INTEL CORPORATION CORP,Corporate,@intel,2012,843,44,34,0,34965,10480,4731,42
4,INTEL CORPORATION CORP,Corporate,@intel,2013,1316,136,85,8,160400,76372,22857,131
5,INTEL CORPORATION CORP,Corporate,@intel,2014,1715,95,349,0,131015,188680,15537,126
6,INTEL CORPORATION CORP,Corporate,@intel,2015,1147,168,1217,16,121072,248961,7763,85
7,INTEL CORPORATION CORP,Corporate,@intel,2016,982,181,1314,71,102263,265865,5241,1463
8,INTEL CORPORATION CORP,Corporate,@intel,2017,638,184,1440,37,47812,169495,6206,7151
9,INTEL CORPORATION CORP,Corporate,@intel,2018,771,172,490,26,40516,210972,8405,5880
10,INTEL CORPORATION CORP,Corporate,@intel,2019,37261,149,627,30,19925,140829,7294,3048
11,INTEL CORPORATION CORP,Corporate,@intel,2020,843,84,495,26,19672,162303,6993,3258
12,INTEL CORPORATION CORP,Corporate,@intel,2021,834,117,484,27,12673,111162,13167,4527
13,INTEL CORPORATION CORP,Corporate,@intel,2022,594,69,648,30,32179,150283,7114,3512
0,PEPSICO INC,Corporate,@PepsiCo,2009,743,0,358,0,0,62,1,0
1,PEPSICO INC,Corporate,@PepsiCo,2010,224,62,200,0,259,32,1,0
2,PEPSICO INC,Corporate,@PepsiCo,2011,1672,134,4499,0,3685,602,1097,0
3,PEPSICO INC,Corporate,@PepsiCo,2012,1115,61,5098,2,4895,922,1574,3
4,PEPSICO INC,Corporate,@PepsiCo,2013,585,78,3344,0,5101,1407,2920,4
5,PEPSICO INC,Corporate,@PepsiCo,2014,440,196,846,0,4453,4258,961,4
6,PEPSICO INC,Corporate,@PepsiCo,2015,373,198,320,6,5197,6369,725,6
7,PEPSICO INC,Corporate,@PepsiCo,2016,291,57,235,9,5407,12284,749,223
8,PEPSICO INC,Corporate,@PepsiCo,2017,451,55,786,4,8586,29913,2910,986
9,PEPSICO INC,Corporate,@PepsiCo,2018,546,53,2158,10,5565,25524,1748,741
10,PEPSICO INC,Corporate,@PepsiCo,2019,16462,22,723,10,8696,36404,3098,1152
11,PEPSICO INC,Corporate,@PepsiCo,2020,289,33,312,15,2709,12127,1292,556
12,PEPSICO INC,Corporate,@PepsiCo,2021,323,32,200,4,4270,36646,2755,940
13,PEPSICO INC,Corporate,@PepsiCo,2022,284,5,155,2,7672,143479,4786,1229
0,WALT DISNEY,Corporate,@Disney,2010,57,0,0,0,3240,1422,14,2
1,WALT DISNEY,Corporate,@Disney,2011,765,3,47,0,161088,38842,13611,15
2,WALT DISNEY,Corporate,@Disney,2012,684,12,3,0,271059,94173,22132,43
3,WALT DISNEY,Corporate,@Disney,2013,537,24,6,0,220997,152909,25938,65
4,WALT DISNEY,Corporate,@Disney,2014,1135,61,9,0,598099,1013967,37491,233
5,WALT DISNEY,Corporate,@Disney,2015,1366,99,2,4,868281,1778139,30085,261
6,WALT DISNEY,Corporate,@Disney,2016,1682,206,0,2,993488,2515433,23307,51159
7,WALT DISNEY,Corporate,@Disney,2017,1758,361,3637,2,1404843,3574242,42627,227056
8,WALT DISNEY,Corporate,@Disney,2018,1176,245,37,2,1005482,3325917,41148,196723
9,WALT DISNEY,Corporate,@Disney,2019,1207,184,102,1,984583,4204157,69934,213765
10,WALT DISNEY,Corporate,@Disney,2020,1112,266,129,3,441057,2634588,46261,87881
11,WALT DISNEY,Corporate,@Disney,2021,958,262,58,0,446652,3053682,48359,105625
12,WALT DISNEY,Corporate,@Disney,2022,824,324,149,0,271040,1761487,41525,52298
0,CISCO SYSTEMS INC,Corporate,@Cisco,2009,898,0,200,0,1,419,0,0
1,CISCO SYSTEMS INC,Corporate,@Cisco,2010,448,31,46,0,2089,457,0,0
2,CISCO SYSTEMS INC,Corporate,@Cisco,2011,838,120,44,0,7002,1208,224,0
3,CISCO SYSTEMS INC,Corporate,@Cisco,2012,840,120,101,0,9878,2764,972,0
4,CISCO SYSTEMS INC,Corporate,@Cisco,2013,1220,169,205,0,17729,7531,2463,1
5,CISCO SYSTEMS INC,Corporate,@Cisco,2014,1480,260,23,1,24045,17747,1760,9
6,CISCO SYSTEMS INC,Corporate,@Cisco,2015,1462,268,98,7,31889,24520,1211,6
7,CISCO SYSTEMS INC,Corporate,@Cisco,2016,1281,155,398,21,35465,66525,1682,1227
8,CISCO SYSTEMS INC,Corporate,@Cisco,2017,1216,117,188,19,21187,39489,1041,2136
9,CISCO SYSTEMS INC,Corporate,@Cisco,2018,1273,190,194,12,20706,46359,1011,2302
10,CISCO SYSTEMS INC,Corporate,@Cisco,2019,4124,285,164,21,19715,59847,2170,2007
11,CISCO SYSTEMS INC,Corporate,@Cisco,2020,1435,229,304,53,27115,121944,4055,3198
12,CISCO SYSTEMS INC,Corporate,@Cisco,2021,1285,183,199,37,12495,58224,3028,1675
13,CISCO SYSTEMS INC,Corporate,@Cisco,2022,912,122,106,10,10091,58716,2658,844
0,UNITEDHEALTH GROUP INC,Corporate,@UnitedHealthGrp,2014,187,14,1,0,87,57,2,0
1,UNITEDHEALTH GROUP INC,Corporate,@UnitedHealthGrp,2015,337,49,1,0,386,621,39,0
2,UNITEDHEALTH GROUP INC,Corporate,@UnitedHealthGrp,2016,421,41,3,1,1238,3870,179,68
3,UNITEDHEALTH GROUP INC,Corporate,@UnitedHealthGrp,2017,394,38,0,0,1887,4409,616,358
4,UNITEDHEALTH GROUP INC,Corporate,@UnitedHealthGrp,2018,335,39,5,11,1486,4838,461,192
5,UNITEDHEALTH GROUP INC,Corporate,@UnitedHealthGrp,2019,265,44,11,4,766,2680,750,235
6,UNITEDHEALTH GROUP INC,Corporate,@UnitedHealthGrp,2020,379,111,78,36,4584,17017,1738,695
7,UNITEDHEALTH GROUP INC,Corporate,@UnitedHealthGrp,2021,375,71,179,28,1220,5207,756,163
8,UNITEDHEALTH GROUP INC,Corporate,@UnitedHealthGrp,2022,137,18,12,14,387,1597,441,82
0,CITIGROUP INC,Corporate,@Citi,2010,453,80,237,0,247,42,1,0
1,CITIGROUP INC,Corporate,@Citi,2011,1148,205,77,0,1515,184,97,0
2,CITIGROUP INC,Corporate,@Citi,2012,1926,520,107,0,5950,923,676,3
3,CITIGROUP INC,Corporate,@Citi,2013,1761,360,15,0,7476,3909,962,2
4,CITIGROUP INC,Corporate,@Citi,2014,1452,229,58,0,9968,12674,1125,3
5,CITIGROUP INC,Corporate,@Citi,2015,1556,344,61,5,32138,56928,2566,13
6,CITIGROUP INC,Corporate,@Citi,2016,987,359,13,19,31675,96702,2423,528
7,CITIGROUP INC,Corporate,@Citi,2017,1221,426,9,31,42705,253731,3734,1621
8,CITIGROUP INC,Corporate,@Citi,2018,977,331,37,51,30350,266481,5099,2320
9,CITIGROUP INC,Corporate,@Citi,2019,868,229,13,48,32249,289160,3253,1447
10,CITIGROUP INC,Corporate,@Citi,2020,724,127,16,37,15653,122601,2814,1169
11,CITIGROUP INC,Corporate,@Citi,2021,918,81,27,35,6885,36675,3603,881
12,CITIGROUP INC,Corporate,@Citi,2022,560,55,18,23,4311,27952,6464,1171
0,ALTRIA GROUP INC,Corporate,@AltriaNews,2011,171,17,1,0,56,20,15,0
1,ALTRIA GROUP INC,Corporate,@AltriaNews,2012,297,34,21,0,242,27,43,0
2,ALTRIA GROUP INC,Corporate,@AltriaNews,2013,204,12,15,0,137,80,36,0
3,ALTRIA GROUP INC,Corporate,@AltriaNews,2014,111,34,11,0,123,83,20,0
4,ALTRIA GROUP INC,Corporate,@AltriaNews,2015,248,10,52,4,294,789,274,1
5,ALTRIA GROUP INC,Corporate,@AltriaNews,2016,172,4,39,0,196,763,181,64
6,ALTRIA GROUP INC,Corporate,@AltriaNews,2017,222,3,48,0,146,571,54,36
7,ALTRIA GROUP INC,Corporate,@AltriaNews,2018,266,5,13,1,273,982,134,38
8,ALTRIA GROUP INC,Corporate,@AltriaNews,2019,150,2,10,2,176,716,100,42
9,ALTRIA GROUP INC,Corporate,@AltriaNews,2020,75,3,50,7,178,830,198,76
10,ALTRIA GROUP INC,Corporate,@AltriaNews,2021,152,8,51,10,113,805,197,40
11,ALTRIA GROUP INC,Corporate,@AltriaNews,2022,165,5,11,0,150,1002,122,30
0,ORACLE CORP,Corporate,@Oracle,2009,223,0,21,0,0,90,1,0
1,ORACLE CORP,Corporate,@Oracle,2010,105,51,32,0,610,156,0,0
2,ORACLE CORP,Corporate,@Oracle,2011,945,174,177,0,4854,692,87,2
3,ORACLE CORP,Corporate,@Oracle,2012,1038,101,46,0,7569,1619,313,1
4,ORACLE CORP,Corporate,@Oracle,2013,1465,99,24,0,10863,3003,774,3
5,ORACLE CORP,Corporate,@Oracle,2014,1468,177,44,0,19272,8946,881,2
6,ORACLE CORP,Corporate,@Oracle,2015,2703,216,56,14,43140,25061,1227,22
7,ORACLE CORP,Corporate,@Oracle,2016,1801,475,4,25,37144,34099,880,1080
8,ORACLE CORP,Corporate,@Oracle,2017,1632,1482,18,35,33352,80667,1895,1898
9,ORACLE CORP,Corporate,@Oracle,2018,1344,1095,12,38,23880,108315,2162,1933
10,ORACLE CORP,Corporate,@Oracle,2019,1026,423,156,94,20294,164681,1924,1061
11,ORACLE CORP,Corporate,@Oracle,2020,850,223,252,20,11692,43093,1241,2876
12,ORACLE CORP,Corporate,@Oracle,2021,1219,189,65,28,12391,55945,1903,8287
13,ORACLE CORP,Corporate,@Oracle,2022,540,99,144,11,7128,25128,2140,690
0,BRISTOL MYERS SQUIBB,Corporate,@bmsnews,2010,117,0,0,0,162,33,0,0
2,BRISTOL MYERS SQUIBB,Corporate,@bmsnews,2011,207,0,2,0,343,47,11,0
4,BRISTOL MYERS SQUIBB,Corporate,@bmsnews,2012,218,10,0,0,660,41,32,0
6,BRISTOL MYERS SQUIBB,Corporate,@bmsnews,2013,186,2,0,0,608,102,56,0
8,BRISTOL MYERS SQUIBB,Corporate,@bmsnews,2014,372,4,7,0,2343,1512,164,1
10,BRISTOL MYERS SQUIBB,Corporate,@bmsnews,2015,1346,25,48,2,10821,11416,557,6
