page,rating_overall,employment_status,review_title,review_link,review_date,employee_job,employee_loc,review_pros,review_cons,review_advice_mgmt,flag_incomplete,rating_components.Work/Life Balance,rating_components.Career Opportunities,rating_components.Compensation and Benefits,rating_components.Senior Management,summary_views.Recommend,summary_views.CEO Approval,summary_views.Business Outlook,supposed_n_reviews,Glassdoor Review Page,rating_components.Culture & Values
2,3.0,Current Employee,A&F is being very different in management style... but is it going to change to like other big box garment retail?,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW85357.htm,"Sep 22, 2008",Logistics Analyst,"New Albany, OH","Beautiful campus, people are young and energetic.   People are demanding but straight forward (could be pros or cons).  Most people are good and honest.  Open door policy and leave your title at your desk are some of the thing I really like.","things change rapidly and the turn over a little bit too quick.  Lack of experienced and good middle management when you needed them most for the day to day operations.  A lot of people sitting in the middle management has a lot of mis-understanding in process and don't understand things in good detail level.  
Things are being too political and respect of chain of command is more important than to get the job done.   Becaz of inexperience middle management, lack of experience leadership always lead to in-confidence behaviors.","Things are changing too rapidly in A&F and a lot of SOPs, IT system process are still in building phase.  It should have someone very knowledgable to help on those building process instead of rely on the person's title.
Years ago, A&F is a very powerful brands and being separated from those ""OLD Fashion"" management style and being very proud of those open door, being extremly honest, leave your title at door policies... but now it turns to the way very bureaucratic and like those big corp.   (At least in my division).  Now, it is time for the Senior leadership to re-think what makes A&F stand up in the retail world and deliver those amazing results to the world.",0,css-11rm5hs,2,css-11rm5hs,css-11rm5hs,blank,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
2,3.0,Current Employee,fun if your forewarned,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW91637.htm,"Oct 1, 2008",Model,"Providence, RI","Great people and a mostly fun environment.  If you can handle craziness, drama, and criticism with a smile on your face you'll love the company. If you're overly sensitive, you won't.","The pay is pretty low without a ton of opportunity for raises.  Alot of management power trips because its their first job out of college and they think its great.  If your down for fifty hour mandatory work weeks with half time for overtime then management here is for you, but if your looking for a second job thats usually a good time than a part time position works out decently.",Educate lower levels of management and yourselves on effective and efficient managing.,0,4,css-11rm5hs,2,1,negative,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
2,4.0,Former Employee,"If you can stand the terrible music and low pay, you'll get to meet a lot of cool people and have a very low stress job",/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW91886.htm,"Oct 1, 2008",Brand Representative,"Arcadia, CA","Working at Abercombie and Fitch, you have the opportunity to meet a lot of attractive, fun people. Company parties are common, and are usually really fun. Co-workers go out after work and become friends. The job is easy- you don't have to do much other than greet people and fold clothes. The managers don't expect much of you so its a really low-stress job. You can pretty much pick your own schedule, although everyone has to be ""available"" for X number of hours each week. Overall, the job was a good experience, very relaxed, and i met people I am still friends with.","Pay is low- usually minimum wage. Hours are slim- most employees only work 20-25 hours per week. The music is absolutely terrible and gets annoying in a hurry. The same CD plays for about a month (sent over from Corporate) and its only about 2 hours long- so in a 6 hour shift you here the same songs 3 times each at a really, really high volume. ""Call-Ins"" are common, where they tell you you may have to work on X day, call in an hour before your shift and we will let you know. You have to block out your whole day and then see what they tell you.","First and foremost, switch up the music occasionally. Second, compensate your employees better.",0,5,css-z2gtf,4,css-11rm5hs,positive,neutral,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
2,4.0,Current Employee,steady paycheck,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW95865.htm,"Oct 7, 2008",Manager In Training,"Boca Raton, FL","If you have a bachelors degree and are ""easy on the eye's"" the company is willing to hire and train you extensively. After 3 months your title changes from ""Manager- in - training""to assistant manager. About 5 to 7 months later you become a ""store manager"". So advancement happens rappidly. The pay differs upon each advancement due to the level and location of the store.",The pay could be better. You start off with 13.90 an hour and work no less than 45 hours a week.,n/a,0,4,5,css-1areqgb,4,positive,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
2,3.0,Current Employee,A steady paycheck if you don't mind retail hours,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW100064.htm,"Oct 15, 2008",Assistant Store Manager,"San Diego, CA","This job provides a steady paycheck with good job security.  Although I have seen some people loose this job, if you are at all competent, and show up for work every day, this is a solid option.","The main problem most people have with this job are the hours.  You typically will not have consecutive days off, and will frequently work weekends.  If you work a closing shift, you will be in the store until 11pm or later.  This is unacceptable for some, but honestly it is true of almost any retail job, so it is not a real criticism of A&F in particular.","Upper management wants this to be a lifestyle, but it is just a job.",0,2,4,3,2,blank,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
2,4.0,Current Employee,Great experience  and fun when you get shifts!,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW104963.htm,"Oct 22, 2008",Model,"West Palm Beach, FL","Fun,upbeat and nice employer's and employees and a great experience in the retail world. If your young and want a great experience  with friendly employee's that work along side you and a easy but fast-paced work environment with ever changing roles each day,
then this is a great place to start! The club style modern music and college atmosphere make this store a fun and exciting place to work. And there always looking to hire so your chances to get hired are fairly high. To me if you want a great retail experience but the big retail stores seem to be to much for you Abercrombie & Fitch is a great place to start and grow!","If working part-time shifts can be few because of so many employees and if you don't have a college degree getting a management position is rare. If you don't like people and don't like clothes, folding, organizing, cleaning or handling money and a fast paced environment then this isn't for you!",More commendation and more shifts,0,4,3,3,css-11rm5hs,positive,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
2,2.0,Current Employee,A and F two years and out,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW105828.htm,"Oct 23, 2008",Store Manager,"Los Angeles, CA",It can be fun at times. There are no old people that work there. There are young people that work there. You can dress in awesome clothes at great discounts. It is high energy low shrink. You get to meet Colden and Wakely. The marketing is very expensive they spend a lot of money on those things.,"You can't work more than fifty hours a week. You have to watch out for booster groups and thieves and youth that steal. Some of the ""models"" actually think that they are really models and just hang out and do not fold a g.d. thing and then complain about not geting hours",keep being super cool!!!!,0,2,css-11rm5hs,1,3,blank,neutral,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
2,3.0,Current Employee,Great place to work but poor sr. leadership and competence.4,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW106791.htm,"Oct 26, 2008",Planner,"Columbus, OH",Cool & casual environment to work in.  You get to work with passionate people.  The compensation is fair to high compared with other retailers.,"Poor senior leadership and competence outside of the CEO.  The leadership team does not have very much accountability.  Many are simply ""yes men/women"" to the CEO.",Have more accountability in the sr. levels.  Be more transparent on internal issues.  Ensure that invdividuals in sr. positions really deserve to be there.  Leadership should be tied to promotions.  Employee moral should be a factor in judging management capabilities.,0,css-z2gtf,4,5,1,positive,neutral,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
2,3.0,Former Employee,"Fun as a summer job, that's about it.",/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW107322.htm,"Oct 27, 2008",Sales Associate,"Sterling Heights, MI","The coworkers are fun and interesting. The atmosphere is great, not much work to actually do, mostly hanging around. Talking with customers who happen to be similar age is a positive, it's basically like a high school party most of the time. Working in the mall can be fun during high school, make new friends.","Hours are very inconsistent, managers play favorites and did not treat everyone with same respect. Staying after to clean up and organize the store when that's precisely the job of the night shift is very frustrating. Dealing with kids during back to school season can get very tiresome.","More responsible store managers, treating all employees the same. More flexibility and hours to work if requested or needed. Less ego from mangers.",0,3,css-z2gtf,3,1,negative,neutral,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
2,5.0,Current Employee,Abercrombie does more things right than wrong,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW109971.htm,"Oct 30, 2008",Senior Manager,"New Albany, OH","People really live out the values of humility, commitment, and team.  Everyone is supportive of each other and are willing to go out of their way to help you out to be successful.  It is very fast paced, but it is also a very fun environment to work in.",There is so much going on at such a fast pace that it's hard to stay coordinated on various initiatives.  Everyone tries so hard to do the right thing to please Mike Jeffries that sometimes they lose sight of what really makes sense for the business as a whole.,"Listen to those on the lower rungs of the organizational ladder, seriously consider them, then act on it.",0,5,5,5,5,positive,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
3,1.0,Current Employee,Stay Away from Abercrombie & Fitch,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW110384.htm,"Oct 31, 2008",Assistant Store Manager,"Dallas, TX","small discount, requires college degree for management-- still a lot of dumb people though.","being on your feet for 10 hrs a day, which actually caused me to have surgery due to their requirement of wearing flip-flops.  HARD work.  ridiculous rules.",treat your employees like humans and not work horses,0,css-qt3l8j,css-z2gtf,css-z2gtf,css-z2gtf,negative,negative,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
3,3.0,Former Employee,"Abercrombie can work for you, especially if you love to smile and wave!",/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW112524.htm,"Nov 5, 2008",Security Associate,"New Albany, OH",Great pay. Relaxed enviornment. Casual work attire encouraged. A lot of young people. High energy.,"This is a tough question to answer because I think my response would be drastically different if I had worked for a different department. I think Abercrombie, overall, is a pretty good place to work. However, the department I worked for, Security, was poorly managed. Our department had little work to do - probably fairly typical for a security job. What leftover time our managers had...who knows what they did with it. It certainly was never spent giving the employees at the bottom of the ladder any reassurance that they had a route for advancement. Moreover, the managers in my department seemed to often make decisions based on high school-like in-group out-group popularity contests. What might be a slap on the wrist for a senior manager's favorite, could easily mean a write-up or termination for someone else.","Remember to work in the interest of those ""below"" you. Build and maintain relationships that are based on how you'd like to be treated if you were in other people's shoes.",0,css-1areqgb,3,4,css-z2gtf,blank,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
3,4.0,Current Employee,An excellent company with uncompromisable standards,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW114170.htm,"Nov 9, 2008",Visual Merchandiser,"Columbus, OH","The best reasons to work at Abercrombie & Fitch is the opportunity to work in an incredibly inclusive atmosphere, the attention to detail everyone strives for, and the demand for excellence. The salaries are competitive and the benefits package is, by far, the most extensive for the industry. They also offer a 401k plan with a an excellent company match.","The downsides of working for Abercrombie & Fitch are occasionally the hours become exceesive, especially around the holidays and there's a great deal of office politics involved on occassion.",None. The Senior Management has an excellent grasp of what employees desire and accomodate most reasonable requests.,0,4,4,css-1areqgb,3,positive,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
3,3.0,Former Employee,Fast advancement if you don't mind a bad salary and relocating constantly,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW118635.htm,"Nov 18, 2008",General Manager,"Lexington, KY","Abercrombie and Fitch is a fun environment. There is also fast advancement. You will learn core management skills and how to multi-task to manage large volume operations. If you enjoy moving, you will be able to do a lot of it. Relocation is paid for and you do have some say in where you go. You will work with young people (21-30) as far as other store managers and your district manager. If you like to always be busy, you'll enjoy this position. Its nice to make your own schedule and you get leave the store a lot to recruit.","There are a lot of hours involved. You will not be a stranger to 60 hour work weeks when need be. YOu do not have a balance between social life and work. This company hasn't learned how to respect this. You will feel guilty when you're not there and they don't do a lot to make you ever feel like you're doing a good job. They manage by always making you feel like your work isn't good enough to make you work harder and longer. Basically to wrap up you should get ready for  low compensation, large turnover and no consistency,","More professional work environment, hire more sophisticated management,",0,2,5,css-11rm5hs,3,negative,negative,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
3,1.0,Current Employee,"Cool store atmosphere, bad management.",/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW118873.htm,"Nov 18, 2008",Brand Representative,"Lynnwood, WA","The atmosphere in the store is definitely fun. Most of the workers are pretty cool and time flies when you're in good company.  The music is also upbeat, modern, and chill, with a few good classics (remixed to techno beats) thrown into the mix.  I also like the dim lighting and good interior design - it makes you feel like you're in a high-end place.","Minimum wage, dumbass managers, bad hours. They pretty much just use the high school and college kids that they hire to attract other young people to buy overpriced, bad quality clothes.  Management is very unorganized and is inconsistent with schedules. A & F also moves the managers around a lot. I worked there for about a year, and the store went through like 10 different managers in that time period.  Most of them like to goof around more than run a good business.  They show no respect for the brand reps and abuse their positions.",Get organized and be more consisitent.,0,css-z2gtf,1,1,css-z2gtf,negative,neutral,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
3,1.0,Current Employee,Abercrombie & Fitch The Worst Company Ever,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW122781.htm,"Nov 25, 2008","""Model""","Columbus, GA","The environment appears to be very friendly at first, but then you start to realize that the managers as well as the coporate office are very unfair to African American workers. Especially to me. The way the company runs its business is not fair to all workers and seems like their is racial issues towards black workers. The Abercromie and Fitch Store located in Columbus, Georgia (the whole company) needs to be under serious investigation. i am employeed with Abercrombie & Fitch and because of the company not providing me with proper information, i have not been to work in two almost three months. Overall because of DISCRIMINATION issues.","The company itself is one big lie, and you will not be respected just kicked to the side and forgotten about like everything is your fault, but it's not your fault.","Abercrombie & Fitch needs to make a better decision on how to run a business , treat employees fair or go out of business.",0,1,1,1,1,negative,negative,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
3,3.0,Former Employee,Great if you have no bills.,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW124859.htm,"Nov 29, 2008",Model,"Las Vegas, NV",Very flexible schedule. Works around school and other jobs very well.  Always gives you time off when you request it.,"Hardly ever get any hours. They have so many employees for one store so the most anyone gets is 20 hours a week, if they're lucky. Some people have gotten as little as four.",Don't hire so many people. Give everyone at least 20 hours a week and only 1 call in shift per week.,0,css-1areqgb,2,css-qt3l8j,3,negative,negative,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
3,4.0,Current Employee,A great place for entry-level grads looking to extend their college years,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW129147.htm,"Dec 7, 2008",Financial Analyst,"New Albany, OH","As an entry-level college graduate, you are given the opportunity to make an immediate impact and are giving a lot of responsibility.  My experience at A&F has been sink or swim--I wasn't formally trained in any kind of training program and was basically left to my own devices to learn my role and responsibilities.   There is a lot of turnover at A&F, with people leaving the company very often and with internal placements.  I had three managers within my first year, and given that I was still new in my role it was difficult to learn when I had to simultaneously teach my new manager what he was supposed to be evaluating me on.  Also, I am fortunate to work with a lot of really smart people.  They take your ideas seriously and treat you with respect as a young employee, which is something I do not think you would get at most other companies when you come in out of college.

Another great reason to work at A&F is the lifestyle at Home Office.  There is an on-campus gym with fitness classes and everything, so if your hours are flexible (not on the product side) you can go work out and take a fitness class or get in a workout during your lunch hour.  

It is definitely a unique environment with a collegiate, youthful feel.  If you are coming out of college and are looking to extend that lifestyle a few more years, A&F would be the place for you.","The collegiate atmosphere can be detrimental as well--often times professionalism is left to be desired.  It is not uncommon for employees to show up after a late night out, and not even try to disguise it, but also to share the prior night's events with the team (including their supervisors--it wouldn't surprise anyone if their supervisor had joined them).  It is not uncommon for employees to call in sick because of drinking.  People say in jest ""A&F takes college binge drinkers and turns them into alcoholics"" but it is often true.  There have been weeks where I've gone out for 5 nights in a workweek, relying on Red Bull and Excedrin to get me through the day.

Another downside is that HR doesn't seem to have it's act together when it comes to promotions.  They are struggling to find a fair way to give promotions in an economy where the company no longer has more money than they know what to do with.  This adjustment has been difficult company-wide, as the relentless focus on quality is so ingrained in every aspect of the business that most departments will spare no expense to make sure that Mike is happy.  There seems to be a resistance to change, and this stems partially from the arrogance of many seasoned A&F directors who were the drivers of the company years ago when it was still ruling the retail world with an iron fist.  I think this is also reflected in our merchandise--it's the customers' fault for not recognizing good merchandise, and not the fault of the teams who are responsible for producing it.","Senior management needs to start thinking more on a total company level, instead of each leader believing that their respective department is the most important department in the company.  Once senior managers and directors begin to realize this, they will be able to work cooperatively together to drive efficiencies and push results.  Often times common sense goes out the window....like having a spring preview floorset in the heart of winter.  Or having sizes that only fit toddlers or tweens with eating disorders.  There is a difference between being aspirational and being unrealistic, and at the end of the day, you are a clothing company that is trying to make money, not some kind of retail dictator trying to sell a lifestyle.  Many people at A&F forget this.",0,css-1areqgb,3,4,3,blank,negative,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
3,4.0,Current Employee,A great place to work if you don't let the bad eggs get to you,/Reviews/Employee-Review-Abercrombie-and-Fitch-RVW129752.htm,"Dec 8, 2008",General Manager,,Its a great job when you want to have fun and remain youthful.  It is as serious as you take it...If you do a good job and you are aspirational you will succeed.  The people are amazing I have met so many wonderful friends and professional contacts.  When you work at Abercrombie & Fitch you know that you are part of something that is growing and offers you room to grow within the company.  I agree with the policies and the expectations the company has for their stores it is very hard to obtain them sometimes but the challenge is what makes the job so interesting.,It is very frustrating when you watch people who get promoted when they do not deserve you just have to suck it up and know that your time will come as long as you continue doing good work that is consistent.  The hours are sometimes a killer but the company does not offer a lot of flexibility in when you can take your vacation time.  There are no paid holidays for upper management you receive a comp day and no compensation.  There is no bonus structure for store managers and General managers where you can actually make something extra you get  a salary and that's it.  It does not feel like retail until you are in the busy seasons such as back to school and also the Christmas season when you are working 6 day work week and also doing overnight shifts from 9pm to 5am.,Create a system that promotes a better work life balance and pay attention to who you are putting in charge of districts.,0,css-11rm5hs,5,4,css-11rm5hs,positive,positive,blank,7560,https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,
