page,rating_overall,employment_status,review_title,review_link,review_date,employee_job,employee_loc,review_pros,review_cons,review_advice_mgmt,flag_incomplete,rating_components.Work/Life Balance,rating_components.Career Opportunities,rating_components.Compensation and Benefits,rating_components.Senior Management,summary_views.Recommend,summary_views.CEO Approval,summary_views.Business Outlook,supposed_n_reviews,Glassdoor Review Page
2,5.0,Current Employee,Sherwin-Williams: Where Hard Work Really Does Pay Off,/Reviews/Employee-Review-Sherwin-Williams-RVW84728.htm,"Sep 21, 2008",Store Manager,"Houston, TX","Working for Sherwin-Williams is like running your own company with someone else's money. You are given the trust and resources to make the decisions necessary to be successful. It takes an entrepreneurial spirit but the rewards are plentiful. Promotion from within is over 90%. It doesn't matter where you came from or who you know, what matters is hard work and performance. That's truly what gets you ahead here. Also, the benefits at SW are great: 401k, pension, medical, dental, vision, plus quarterly and annual bonuses. Performance pays.","Being spread out in retails stores does not always provide the comradery one might get in an office setting. You still get know people around you but there are rarely social events or after-work drinks. Additionally, working in our stores is quite physical. It's not a desk job, which is great, but it requires heavy lifting at times and constant movement. It's not a job for complacent or lazy people.",Continue to focus on the future and develop people from within. These two areas are vital to success and you do a great job of both.,0,css-1areqgb,5,5,5,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
2,3.0,Former Employee,Ok but could be better,/Reviews/Employee-Review-Sherwin-Williams-RVW87398.htm,"Sep 26, 2008",,"Cleveland, OH",There are several different positions,office politics kill a career,consider all posibilities,0,3,3,css-z2gtf,css-qt3l8j,blank,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
2,4.0,Former Employee,A good job with career potential,/Reviews/Employee-Review-Sherwin-Williams-RVW95136.htm,"Oct 6, 2008",Assistant Manager,"Winston-Salem, NC","Better pay than other paint companies. Freedom to run the store the way you wish, as long as you are successful. Sherwin-Williams has the best reputation with the contractors--makes selling easier. S-W sells quality products, trains and maintains knowledgeable staff. Co-workers take pride in their jobs. Culture of fun at work--depends on your supervisors, of course.","Can be a super physical job. Slinging lots of five gallon pails and making drywall mud deliveries may be a problem for some people-you don't need to get a gym membership if you work at a high volume store. Large portion of the contractors are immigrants--at times commucation and differences in cultures can be an issue. Speaking Spanish would be valuable but we also had customers who were Russian, Polish, Indian, Vietnamese, Korean...",Always take care of your people! They are your biggest asset.,0,4,4,css-1areqgb,4,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
2,3.0,Current Employee,Wolf in sheep's clothing.,/Reviews/Employee-Review-Sherwin-Williams-RVW98998.htm,"Oct 13, 2008",Store Manager,"Oklahoma City, OK","Excellent  ""ownership"" in a business without the personal financial loss.  An american company with a long history of success. Financially strong company that doesn't falter during tough economic times. Products are best in the industry, hands-down. Benefits are excellent and pay is competitive.  Business knowledge gained is fast and broad.","Job descriptions are grossly skewed and managers are expected to both be a sales rep and a store manager.  This is a salary job where you will easily work 50+ hours per week with no overtime. You're assistant manager can make or break you and the remaining staff at stores are typically part-time. If you're real lucky, you'll get an untrained ASM with no staff, open 7 days a week and no 3rd key to supplement long hours. No other company will you find an $7 hour part-time employee helping a $250,000 account on a daily basis.
Sales reps on average; do nothing except complain because stores weren't  ""giving"" them accounts.  When problems arise, reps are no where to be found, except on the golf course.  DM's were typically sales reps in their previous position and are ""pro rep"" on every issue.  It is always your fault.  I have also seen two DM's leave the company on ""not so good"" terms only to return a year later and be re-hired in their same position.  There is a ""good old boy"" organization still in existence but has some what been covered up with their new ""diversity"" movement.
System methods and pricing are redundant. In 11 years of employment, SW has not been able to fix these ""very important"" issues and you will be challenged by every customer regarding the price on products.   You will constantly feel like Monty Hall in making a deal over every gallon of paint you sell; and then get questioned by upper management when done incorrectly.
Basically this is a retail job, dealing with people, all day, every day.","Policies should be mandated that every DM and sales manager come and work as an employee for two weeks in a store once a year.  Listen and give credit to their people. The staff are not overhead, you are.",0,css-z2gtf,2,4,css-qt3l8j,blank,negative,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
2,3.0,Current Employee,Stable Job (Sort of),/Reviews/Employee-Review-Sherwin-Williams-RVW102948.htm,"Oct 20, 2008",,"Tampa, FL",Stable job in this unstable market,Long hours and incompetent management,Favortism does not work when promoting people with no experience.,0,css-z2gtf,4,3,css-11rm5hs,blank,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
2,3.0,Former Employee,Internship was lacking,/Reviews/Employee-Review-Sherwin-Williams-RVW108817.htm,"Oct 29, 2008",Management Training Intern,,"Corporate training does allow for some professional development, most people working for the company are friendly and enthusiastic about what they do, your hard work pays off",I was in the Management Training Internship and it left a lot to be desired. Just felt like a meaningless summer job schlepping paint around. Lots of rumors fly around about poor management in stores - but that could just be a little competitive jeering. Definitely a boys club.,"If you want the internship to have more credibility and desirability, work the entrepreneurship angle more. I was expecting to learn how to run a business but just learned how to properly paint a deck.",0,4,3,3,css-11rm5hs,negative,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
3,4.0,Current Employee,Sherwin-Williams is a good place to find your career.,/Reviews/Employee-Review-Sherwin-Williams-RVW110498.htm,"Nov 1, 2008",Sales Representative,"Richmond, VA","SW has the best compensation plan in the industry.  I have worked for numerous paint cmpanies and feel that I am being as fairly compensated as I have ever been.  The salary package is competitive, not really high, but competitive.  The bonus plan is very lucrative and exceptionally well defined.  The training that we recieve has to be the best in the industry.  In two and a half years, I have been sent to three different training courses...all of which have been really helpful and well run.  Also, the retirement plan/401K program provides up a 6% match, which has enabled me to save for retirement in a very real and significant way.","As a large corporation, there are times that you can feel lost in the vastness of the system.","Pay more attention to the feild, we are the driving force for the business.",0,css-11rm5hs,5,5,4,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
3,5.0,Current Employee,It is the best job i have ever had.,/Reviews/Employee-Review-Sherwin-Williams-RVW119259.htm,"Nov 19, 2008",Inside Sales Associate,,"It's an all around great place to work, with as much opportunities for advance as you could ever want","Its a ""what have you done for me lately"" kind of company",Thank you,0,css-11rm5hs,5,css-1areqgb,5,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
3,5.0,Current Employee,Great company with enough diversity that can withstand an economic recession.,/Reviews/Employee-Review-Sherwin-Williams-RVW121416.htm,"Nov 23, 2008",Assistant Manager,"Silverdale, WA","The benefits that SW provides is the best in the industry. For 6% of your salary a year SW will match 6% on 401k and 6% into your pension fund. SW is all over the world, there are endless opportunities to travel and move to another part of the country if you so desire. You can support a store as a PT, FT, Asst Manager, Manager, Outside Sales Rep, Tech Rep, or  If you don't want to work in a store you can work internal support. Accounting, Insides Sales, Labs, New Product Development, Testing, Color Resources, Computer Tech, Auditors, etc. We are diverse and will maintain in a economy that has seen better days. The bonus plans for store management is excellent if you can have a good year. If you work your tail off you can get compensated for all the hard work.",Base pay is lower then some paint companies. Getting some things done through corporate america can be a pain.,Always remember that the stores group is the backbone of your company,0,css-1areqgb,5,5,css-1areqgb,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
3,2.0,Current Employee,Lot of work with little pay/compensation,/Reviews/Employee-Review-Sherwin-Williams-RVW133442.htm,"Dec 15, 2008",Store Manager,,Benefits are great with low premiums.,The amount of effort you put in you are not compensated to where a retail manager should be.,Listen to employee's.,0,css-1areqgb,css-11rm5hs,css-11rm5hs,2,blank,negative,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
3,3.0,Former Employee,Not a good management developing job,/Reviews/Employee-Review-Sherwin-Williams-RVW133727.htm,"Dec 16, 2008",Mtp,"Toronto, ON",Good training programs to understand the company more for employees.,"The company is fairly Caucasian based.  I was the only non-Caucasian at training with all the other management trainees.  It didn't seem like a very good job to develop a management career.  The position was more of mixing paint and carrying it to customer's car each day.  Very disappointing job coming out of university.  Although the annual salary may be high, but the working hours are very demanding.  6:30 AM - 6PM shifts are frequent.","Act on the ""Diversity"" value.",0,css-qt3l8j,3,css-qt3l8j,2,negative,neutral,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
3,5.0,Current Employee,TRYING TIMES WILL BRING OUT THE BEST OR WORST IN PEOPLE IF YOU ARE THE BEST APPLY WITHIN.....,/Reviews/Employee-Review-Sherwin-Williams-RVW136288.htm,"Dec 21, 2008",INDEPENDENT DEALER CUSTOMER SERVICE Representative,"Cleveland, OH","We at Sherwin are a family, a very big one! This company doesn't treat you simply as an employee but as much much more then then that. They/we treat each other as people. The benefits packages offered are by far better then other large companies I have worked for in the past. The career advancement possibilities are endless and limitless (I'm next in line for CEO, just kidding.) There is support available to you at any time to discuss your career path or research a new one. Because we are such a diverse international company the sky is the limit on opportunities. We grow stronger together.","Well as we all know we are entering a recession, mainly due to the housing markets being in the dumps, but Sherwin Williams as in other coating company's have been hit hard by this. Times are tough for all coating manufactures and they may continue to get worse before they get better. Back to topic it is becoming more difficult for people to come into our company right now, and I know there are those out there who are worried about loosing their jobs but we will survive and continue to prosper.",Actually not much they are doing everything they can right now to help those under them pull though by sticking together.,0,5,5,css-1areqgb,css-1areqgb,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
3,5.0,Current Employee,America's Paint Company;  Join us and take Charge of Your Career,/Reviews/Employee-Review-Sherwin-Williams-RVW137183.htm,"Dec 23, 2008",Sales Representative,"Waco, TX","I love working at Sherwin Williams because the career path is open to all within the company based on performance, and not necessarily Degree's attained.  One can work in many areas of the company once onboard.  For example, after completing the basic training in the Stores group, jobs in Accounting, IT, Chemistry, Human Resources, Marketing, or stay within the stores, and become Assistant Manager, and Manager of a multi-million dollar operation.  District Level management opportunities abound for those geared toward Operational efficiency, Human Resource Management, and employee development.  Sales management opportunities abound for those who are sales goal oriented,  have developed good communication skills with customers, and those that can teach these skills effectively to their sales Representatives.","I would say that most of the employees who become dissatisfied with the company fall into two groups;  Those that try to climb the ladder too fast and have not developed the skill sets necessary to fulfill the requirements of the position they applied for,  they become too overwhelmed and do not see the benefit of listening to themselves and guiding themselves to the next step when they are truly ready.   The other group of employees who get disillusioned with our company are those that   plant themselves in positions that do not suit their particular skill sets and become fearful to switch positions.","In these times of economic downturn,  when we look at cost cutting; within the stores group;  lets see if we can keep our store personnel intact, and not cut those crucial part time hours that are needed to keep our service level up.  There are plenty of support positions that could be re-assigned to positions that directly support sales growth.",0,5,5,5,5,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
3,3.0,Current Employee,Solid reliable pay & benefits but not very challenging,/Reviews/Employee-Review-Sherwin-Williams-RVW138679.htm,"Dec 27, 2008",Assistant Manager,"Atlanta, GA",Good benefits reasonable salary & security,"Working short staffed, long hours. Does not require much mental effort",Provide better staffing ratios and materials handling equipment,0,css-11rm5hs,css-11rm5hs,css-11rm5hs,3,blank,neutral,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
3,3.0,Former Employee,"Hard work, Good company, but watch yourself",/Reviews/Employee-Review-Sherwin-Williams-RVW146793.htm,"Jan 5, 2009",Sales Representative,"Los Angeles, CA","Get real world experience.  On the sales side of the business, you get a lot of customer contact.  If you work in the store, you learn what it takes to run a business with the support of a company behind you.  You have a lot of opportunity to move around the company","The hours in the stores can be long. Most stores are open 7 days a week.  Sometimes you are subject to working 7 days a week and this type of work can take weeks to change,  Upper management sometimes seems very disintrested in your situation because ""thats is what they went though"" type attitude.  You will see a culture that is strong, but the senior management demostrates many times that they do not care about the people under them, just the only the numbers.",Get more feedback from the people below you.  This can help save money and make it seem less like you are telling people what to do.  This is the major complaint by the people on the front line.  Bein open on the 4th of July does not help moral.,0,css-11rm5hs,4,4,css-11rm5hs,blank,neutral,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
3,3.0,Current Employee,Working at Sherwin-Williams gives me mixed feelings about career.,/Reviews/Employee-Review-Sherwin-Williams-RVW146919.htm,"Jan 5, 2009",Assistant Manager,"Milwaukee, WI","Sherwin-Williams offers good opportunities for entry level employers in the management field.  You get to manage on a very personal level since each store typically has only several employees.  SW also is very good at teaching you about all you need to know about the paint industry.  It is also fairly easy to get off the time you need, so long as you get your request in with enough time.  Finally, SW offers excellent benefits and a 401k plan which is very reasonable.","Despite what I was told during recruiting, it is a long process in getting promotions within the company.  I have been with SW now for nearly 3 years and within the whole district there have only been a handful of Manager or Sales Rep job openings in which I could have applied for.  I applied and interviewed for two manager jobs and one rep job.  All of the potential promotions were also targeted by many other people who were both in and out of the district.  Needless to say, I was not given the promotions and was told different reasons why I didn't get the job for each by my District Manager.  Basically, there are not that many job openings in a given year, and the ones that are, have many people applying for it. One other thing about SW that bugs me is that during recruiting I was told that the management team was able to run their store pretty much the way they want to.  ""It is almost like running your own business.""  Is what the recruit told me.    That statement could not be further from the truth.  SW  has many rules and regulations passed down from the corporate headquarters.  Basic pay, store hours, inventory, selling events, pricing, margins, and several others business aspects are all pretty much controlled by SW corporate or district.  The main thing that bugs me is SW charges the stores 1% all the inventory they have at the end of each month.  This expense affects how your yearly numbers turn out.  Also, there is a major push by the District to keep inventory low.  However, frequently the stores are forced to take overstock items from the main distribution center.  No matter what the products are, the stores have to take these direct shipments, which most of the time are products that do not sell very well and the stores are stuck with them hitting their inventory numbers for months.","Promotions should go to the best applicant, not the one with the most tenure.",0,css-1areqgb,css-z2gtf,4,css-z2gtf,blank,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
4,4.0,Current Employee,assistant manager review,/Reviews/Employee-Review-Sherwin-Williams-RVW148276.htm,"Jan 6, 2009",Assistant Manager,"Roswell, GA",fast paced environment everyday here,there are always long hours,let the stores close on holidays,0,4,4,4,4,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
4,3.0,Former Employee,None,/Reviews/Employee-Review-Sherwin-Williams-RVW154494.htm,"Jan 14, 2009",Inside Sales Associate,,"Health benefits and retirement benefits are pretty good. six percent match on 401k
Active enviroment; there's always something to do
There is always going to be a need for paint
Sherwin Williams owns pretty much their entire supply chain
Spends a lot of money on research and development to make sure have the best products
There is a lot of training to prepare you for the job","Salary isn't anything to brag about
Upper management started to micro-manage everything
It's a very slow time because of the economy
Cutting positions of people that have been there several years to save company cost
When the economy turns around there wont be the trained employees to handle to influx of business",Don't interfere so much,0,3,4,css-11rm5hs,3,positive,neutral,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
4,4.0,Current Employee,Quick Review,/Reviews/Employee-Review-Sherwin-Williams-RVW156537.htm,"Jan 17, 2009",Assistant Manager,"Herndon, VA",Work Schedule is flexible and lots of opportunity to move up.,Retail is Retail so what can you say.,Spend more time with lower management.,0,css-11rm5hs,4,4,4,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
4,4.0,Current Employee,"Sherwin Williams is the best company to look at for promotionablity, stability, and longevity of career choices.",/Reviews/Employee-Review-Sherwin-Williams-RVW157502.htm,"Jan 19, 2009",Sales Representative,,"They are a company based on great moral values and ethics.  We do not have the highest paid CEO, but we have the best valued.  I have been a loyal employee for 14 years, and I have the retirement and benefit package that is above all the rest in retaining value.",In order to make the best salary increases it is very important to be mobile.  You get the most salary increase by promoting and that always means relocation.,Make sure to stay very on top of your employees desires for promotion and keep promoting from within the company.,0,5,css-1areqgb,css-1areqgb,4,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
4,4.0,Current Employee,Great company to work for even through these tough times.,/Reviews/Employee-Review-Sherwin-Williams-RVW159949.htm,"Jan 22, 2009",Assistant Manager,"Pembroke Pines, FL","Great pay and benefits in a retail field.  Are praised for what you accomplish not what recognition your boss takes from you.  Career opportunities are wide open for you, if you are looking for a different job with in the company it can be easily obtained.  Sherwin Williams has a online job posting system and anywhere in the country a job opens up that job will be posted online for you to apply to.","Hours can be long at the management level, can sometimes be hard to get days you want off.  People are traded fairly but some managers can be difficult to work along side with.",Nothing keep it up.,0,3,4,css-1areqgb,4,positive,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
4,3.0,Current Employee,Glass ceiling stalls SW's opportunity for growth and sustainability in a troubled market.,/Reviews/Employee-Review-Sherwin-Williams-RVW173679.htm,"Feb 14, 2009",Lower/Middle Management,"Richmond, KY","Pay, Benefits, Coworkers, ability to work independently","Glass Ceiling for women.  Managers who don't want you to get ahead for fear it would be at their expense. Managements desire to promote MEN to power positions, because they have a higher risk of losing them then women. Managements indifference or flat out ignorance of who works for them and what they do.  Managements inability to utilize technology and inability to mandate that their employees utilize technology, either because they don't know or don't care. Inability to use the correct resources.",Invest in Training. Invest in Employee growth.  Invest in Female Employee growth.  Keep promises.,0,css-11rm5hs,2,4,3,blank,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
4,2.0,Former Employee,Great Company having some growing pains.,/Reviews/Employee-Review-Sherwin-Williams-RVW175883.htm,"Feb 18, 2009",Branch Manager,"Santa Clara, CA",New challenges every day. Great place to hone your skills before moving on into the real world.,Lack of communication with Upper to lower management. Upper management does not give concise job details of job duties but rather dictate the expectations.  This is fine for the military but when employees are not trained properly how can they be expected to perform properly.,Have better communivation standards for you middle management.  Make sure that the field level managers know what is expected of them.  Create and publish both a Mission and Vision statement.,0,4,2,3,1,negative,positive,blank,6726,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
